Sys,Is Constrained?,CometKiwi-XL Score
In2x,No,0.6237
Laniqo,Yes,0.5789
Yolu,Yes,0.5785
Shy,Yes,0.5768
Kaze-MT,No,0.5686
UvA-MT,No,0.5637
NTTSU,Yes,0.5633
SRPOL,Yes,0.5596
CommandA-MT,No,0.558
GemTrans,No,0.5563
Wenyiil,Yes,0.5546
bb88,No,0.5513
GPT-4.1,No,0.5493
Qwen3-235B,No,0.5491
Gemini-2.5-Pro,No,0.549
Algharb,Yes,0.547
Mistral-Medium,No,0.5463
Claude-4,No,0.5445
CommandA,No,0.5396
TowerPlus-72B,No,0.537
AyaExpanse-32B,No,0.537
TowerPlus-9B,Yes,0.5355
DeepSeek-V3,No,0.5339
Gemma-3-27B,No,0.5258
Qwen2.5-7B,Yes,0.5244
Llama-4-Maverick,No,0.5239
IR-MultiagentMT,No,0.5227
EuroLLM-22B,No,0.5213
IRB-MT,Yes,0.5209
AyaExpanse-8B,Yes,0.5185
Gemma-3-12B,Yes,0.5088
Llama-3.1-8B,Yes,0.5071
ONLINE-B,No,0.4986
CommandR7B,Yes,0.4962
TranssionTranslate,No,0.4878
EuroLLM-9B,Yes,0.4786
ONLINE-W,No,0.456
Mistral-7B,Yes,0.445
SalamandraTA,Yes,0.4258
NLLB,Yes,0.3706
ONLINE-G,No,0.352
