Sys,Is Constrained?,GEMBA-ESA-CMDA Score
Gemini-2.5-Pro,No,85.506
GPT-4.1,No,84.9518
Shy,Yes,84.5873
CommandA-MT,No,83.3675
DeepSeek-V3,No,81.8855
Claude-4,No,81.7319
Qwen3-235B,No,80.0783
Mistral-Medium,No,79.9367
CommandA,No,79.3795
UvA-MT,No,78.9247
GemTrans,No,78.1747
ONLINE-B,No,76.6687
TowerPlus-72B,No,76.1867
AyaExpanse-32B,No,75.6536
ONLINE-W,No,74.5602
EuroLLM-22B,No,74.25
IRB-MT,Yes,73.7741
TowerPlus-9B,Yes,73.5331
Gemma-3-27B,No,73.3916
IR-MultiagentMT,No,72.988
TranssionTranslate,No,72.9006
SalamandraTA,Yes,71.9428
Laniqo,Yes,70.4518
Gemma-3-12B,Yes,69.6988
AyaExpanse-8B,Yes,69.4608
EuroLLM-9B,Yes,68.3193
CommandR7B,Yes,67.3223
Llama-4-Maverick,No,66.9819
Llama-3.1-8B,Yes,61.8223
Qwen2.5-7B,Yes,60.8373
ONLINE-G,No,58.738
NLLB,Yes,58.5482
Mistral-7B,Yes,53.4729
