Sys,Is Constrained?,MetricX-24-Hybrid-XL Score
Shy,Yes,-4.6597
CommandA-MT,No,-4.8322
GemTrans,No,-4.8666
Laniqo,Yes,-4.9417
UvA-MT,No,-5.3935
ONLINE-B,No,-5.585
Gemini-2.5-Pro,No,-5.6024
TranssionTranslate,No,-5.7015
IRB-MT,Yes,-5.73
SalamandraTA,Yes,-5.7594
GPT-4.1,No,-5.7784
Qwen3-235B,No,-5.7928
DeepSeek-V3,No,-5.8605
Mistral-Medium,No,-5.9561
ONLINE-W,No,-6.0434
AyaExpanse-32B,No,-6.1004
TowerPlus-72B,No,-6.1345
TowerPlus-9B,Yes,-6.1921
CommandA,No,-6.1983
EuroLLM-22B,No,-6.3554
Claude-4,No,-6.3833
Gemma-3-27B,No,-6.6802
AyaExpanse-8B,Yes,-6.6972
IR-MultiagentMT,No,-6.801
EuroLLM-9B,Yes,-6.8056
Gemma-3-12B,Yes,-7.0578
CommandR7B,Yes,-7.3547
Llama-4-Maverick,No,-7.4979
Qwen2.5-7B,Yes,-7.8476
Llama-3.1-8B,Yes,-8.0611
NLLB,Yes,-9.2582
Mistral-7B,Yes,-9.7786
ONLINE-G,No,-9.9485
