Sys,Is Constrained?,XCOMET-XL Score
Laniqo,Yes,0.6303
Shy,Yes,0.6199
UvA-MT,No,0.5945
CommandA-MT,No,0.5898
GemTrans,No,0.5812
SalamandraTA,Yes,0.5611
GPT-4.1,No,0.5535
Mistral-Medium,No,0.5442
DeepSeek-V3,No,0.543
Qwen3-235B,No,0.5409
TowerPlus-72B,No,0.5393
CommandA,No,0.5366
Gemini-2.5-Pro,No,0.5366
ONLINE-W,No,0.5312
EuroLLM-22B,No,0.5305
ONLINE-B,No,0.5297
AyaExpanse-32B,No,0.527
TowerPlus-9B,Yes,0.5261
IRB-MT,Yes,0.5231
TranssionTranslate,No,0.5229
Claude-4,No,0.5197
Gemma-3-27B,No,0.5127
EuroLLM-9B,Yes,0.5087
AyaExpanse-8B,Yes,0.5024
IR-MultiagentMT,No,0.4988
Gemma-3-12B,Yes,0.4935
CommandR7B,Yes,0.4857
Llama-4-Maverick,No,0.4791
Llama-3.1-8B,Yes,0.4489
Qwen2.5-7B,Yes,0.4398
NLLB,Yes,0.4207
ONLINE-G,No,0.3685
Mistral-7B,Yes,0.3626
