Sys,Is Constrained?,AutoRank
Shy,Yes,1.0
CommandA-MT,No,2.61
Gemini-2.5-Pro,No,4.43
GPT-4.1,No,4.53
GemTrans,No,5.16
UvA-MT,No,5.28
DeepSeek-V3,No,6.14
Mistral-Medium,No,7.07
Qwen3-235B,No,7.18
Laniqo,Yes,7.56
Claude-4,No,8.37
CommandA,No,8.45
ONLINE-B,No,9.36
TowerPlus-72B,No,9.44
AyaExpanse-32B,No,10.06
ONLINE-W,No,10.06
IRB-MT,Yes,10.21
SalamandraTA,Yes,10.27
EuroLLM-22B,No,10.99
TranssionTranslate,No,11.0
TowerPlus-9B,Yes,11.28
Gemma-3-27B,No,12.62
IR-MultiagentMT,No,13.62
AyaExpanse-8B,Yes,14.87
EuroLLM-9B,Yes,15.22
Gemma-3-12B,Yes,15.52
Llama-4-Maverick,No,17.97
CommandR7B,Yes,18.03
Llama-3.1-8B,Yes,22.8
Qwen2.5-7B,Yes,23.51
NLLB,Yes,27.07
ONLINE-G,No,29.96
Mistral-7B,Yes,33.0
